Size,Function,Min,Average,Max
1000,0_p5_auto_find_duplicates_list_strategy,0.0032868001144379377,0.04561888059717604,0.4270996998529881
2000,0_p5_auto_find_duplicates_list_strategy,0.007425500079989433,0.1744916554000229,1.6849859999492764
5000,0_p5_auto_find_duplicates_list_strategy,0.019971600035205483,1.059145734002348,10.435369400074705
1000,1_p5_auto_find_duplicates_list_strategy,0.003299799980595708,0.004896324398461729,0.011349600041285157
2000,1_p5_auto_find_duplicates_list_strategy,0.007343800039961934,0.010068812396842985,0.016851400025188923
5000,1_p5_auto_find_duplicates_list_strategy,0.019953199895098805,0.02685579949361272,0.037934100022539496
1000,2_p5_auto_find_duplicates_list_strategy,0.00330799981020391,0.19050694810110141,0.4761020001024008
2000,2_p5_auto_find_duplicates_list_strategy,0.0072033999022096395,0.7559444470976013,1.7161136998329312
5000,2_p5_auto_find_duplicates_list_strategy,0.02355149993672967,4.737526329595829,11.090455400059
1000,3_p5_auto_find_duplicates_list_strategy,0.0031755000818520784,0.0038476668025832625,0.006024000002071261
2000,3_p5_auto_find_duplicates_list_strategy,0.007194400066509843,0.008460591095965355,0.015539400046691298
5000,3_p5_auto_find_duplicates_list_strategy,0.019642400089651346,0.0248847449964378,0.032209099968895316
