function_index,prompt,sample_index,code_segment,Size,Min,Average,Max,Exception
0_p2_auto_find_duplicates_list_strategy,"""Find the Duplicate Number. The implementation should be fast. The implementation should be in a function named funcImp that takes a single list of integers as a parameter.""",1,['def funcImp(nums):\n    slow = nums[0]\n    fast = nums[0]\n    while True:\n        slow = nums[slow]\n        fast = nums[nums[fast]]\n        if slow == fast:\n            break\n    pointer1 = nums[0]\n    pointer2 = slow\n    while pointer1 != pointer2:\n        pointer1 = nums[pointer1]\n        pointer2 = nums[pointer2]\n    return pointer1'],1000,5.340000097930897e-05,0.0014160840000840835,0.0042864999995799735,N/A
0_p2_auto_find_duplicates_list_strategy,"""Find the Duplicate Number. The implementation should be fast. The implementation should be in a function named funcImp that takes a single list of integers as a parameter.""",1,['def funcImp(nums):\n    slow = nums[0]\n    fast = nums[0]\n    while True:\n        slow = nums[slow]\n        fast = nums[nums[fast]]\n        if slow == fast:\n            break\n    pointer1 = nums[0]\n    pointer2 = slow\n    while pointer1 != pointer2:\n        pointer1 = nums[pointer1]\n        pointer2 = nums[pointer2]\n    return pointer1'],10000,2.0200001017656177e-05,0.013898186999977042,0.03923369999938586,N/A
0_p2_auto_find_duplicates_list_strategy,"""Find the Duplicate Number. The implementation should be fast. The implementation should be in a function named funcImp that takes a single list of integers as a parameter.""",1,['def funcImp(nums):\n    slow = nums[0]\n    fast = nums[0]\n    while True:\n        slow = nums[slow]\n        fast = nums[nums[fast]]\n        if slow == fast:\n            break\n    pointer1 = nums[0]\n    pointer2 = slow\n    while pointer1 != pointer2:\n        pointer1 = nums[pointer1]\n        pointer2 = nums[pointer2]\n    return pointer1'],100000,0.007732100000794162,0.2929895929999111,0.7890630000001693,N/A
0_p2_auto_find_duplicates_list_strategy,"""Find the Duplicate Number. The implementation should be fast. The implementation should be in a function named funcImp that takes a single list of integers as a parameter.""",2,['def funcImp(nums):\n    slow = nums[0]\n    fast = nums[0]\n    while True:\n        slow = nums[slow]\n        fast = nums[nums[fast]]\n        if slow == fast:\n            break\n    ptr1 = nums[0]\n    ptr2 = slow\n    while ptr1 != ptr2:\n        ptr1 = nums[ptr1]\n        ptr2 = nums[ptr2]\n    return ptr1'],1000,6.799999937356915e-05,0.0015695509998477064,0.004648899999665446,N/A
0_p2_auto_find_duplicates_list_strategy,"""Find the Duplicate Number. The implementation should be fast. The implementation should be in a function named funcImp that takes a single list of integers as a parameter.""",2,['def funcImp(nums):\n    slow = nums[0]\n    fast = nums[0]\n    while True:\n        slow = nums[slow]\n        fast = nums[nums[fast]]\n        if slow == fast:\n            break\n    ptr1 = nums[0]\n    ptr2 = slow\n    while ptr1 != ptr2:\n        ptr1 = nums[ptr1]\n        ptr2 = nums[ptr2]\n    return ptr1'],10000,0.0002413000001979526,0.014329664000015327,0.047892700000375044,N/A
0_p2_auto_find_duplicates_list_strategy,"""Find the Duplicate Number. The implementation should be fast. The implementation should be in a function named funcImp that takes a single list of integers as a parameter.""",2,['def funcImp(nums):\n    slow = nums[0]\n    fast = nums[0]\n    while True:\n        slow = nums[slow]\n        fast = nums[nums[fast]]\n        if slow == fast:\n            break\n    ptr1 = nums[0]\n    ptr2 = slow\n    while ptr1 != ptr2:\n        ptr1 = nums[ptr1]\n        ptr2 = nums[ptr2]\n    return ptr1'],100000,0.003400800000235904,0.2943748149999374,0.7670611000012286,N/A
0_p2_auto_find_duplicates_list_strategy,"""Find the Duplicate Number. The implementation should be fast. The implementation should be in a function named funcImp that takes a single list of integers as a parameter.""",3,['def funcImp(nums):\n    slow = nums[0]\n    fast = nums[0]\n    while True:\n        slow = nums[slow]\n        fast = nums[nums[fast]]\n        if slow == fast:\n            break\n    ptr1 = nums[0]\n    ptr2 = slow\n    while ptr1 != ptr2:\n        ptr1 = nums[ptr1]\n        ptr2 = nums[ptr2]\n    return ptr1'],1000,0.0001007999999274034,0.001557864000023983,0.004044699999212753,N/A
0_p2_auto_find_duplicates_list_strategy,"""Find the Duplicate Number. The implementation should be fast. The implementation should be in a function named funcImp that takes a single list of integers as a parameter.""",3,['def funcImp(nums):\n    slow = nums[0]\n    fast = nums[0]\n    while True:\n        slow = nums[slow]\n        fast = nums[nums[fast]]\n        if slow == fast:\n            break\n    ptr1 = nums[0]\n    ptr2 = slow\n    while ptr1 != ptr2:\n        ptr1 = nums[ptr1]\n        ptr2 = nums[ptr2]\n    return ptr1'],10000,0.00020659999790950678,0.013676789999881294,0.04613229999813484,N/A
0_p2_auto_find_duplicates_list_strategy,"""Find the Duplicate Number. The implementation should be fast. The implementation should be in a function named funcImp that takes a single list of integers as a parameter.""",3,['def funcImp(nums):\n    slow = nums[0]\n    fast = nums[0]\n    while True:\n        slow = nums[slow]\n        fast = nums[nums[fast]]\n        if slow == fast:\n            break\n    ptr1 = nums[0]\n    ptr2 = slow\n    while ptr1 != ptr2:\n        ptr1 = nums[ptr1]\n        ptr2 = nums[ptr2]\n    return ptr1'],100000,0.008876100000634324,0.2340426539998225,0.6077557999997225,N/A
0_p2_auto_find_duplicates_list_strategy,"""Find the Duplicate Number. The implementation should be fast. The implementation should be in a function named funcImp that takes a single list of integers as a parameter.""",4,['def funcImp(nums):\n    slow = nums[0]\n    fast = nums[0]\n    while True:\n        slow = nums[slow]\n        fast = nums[nums[fast]]\n        if slow == fast:\n            break\n    ptr1 = nums[0]\n    ptr2 = slow\n    while ptr1 != ptr2:\n        ptr1 = nums[ptr1]\n        ptr2 = nums[ptr2]\n    return ptr1'],1000,3.300000025774352e-05,0.001478153000061866,0.004556799998681527,N/A
0_p2_auto_find_duplicates_list_strategy,"""Find the Duplicate Number. The implementation should be fast. The implementation should be in a function named funcImp that takes a single list of integers as a parameter.""",4,['def funcImp(nums):\n    slow = nums[0]\n    fast = nums[0]\n    while True:\n        slow = nums[slow]\n        fast = nums[nums[fast]]\n        if slow == fast:\n            break\n    ptr1 = nums[0]\n    ptr2 = slow\n    while ptr1 != ptr2:\n        ptr1 = nums[ptr1]\n        ptr2 = nums[ptr2]\n    return ptr1'],10000,0.0017608000016480219,0.01646027000002505,0.05524489999879734,N/A
